increment,price,zero
1056,293.869995,0
1057,294.079987,0
1058,293.929993,0
1059,292.880005,0
1060,295.320007,0
1061,295.140015,0
1062,296.670013,0
1063,299.440002,0
1064,292.690002,0
1065,289.920013,0
1066,291.329987,0
1067,290.48999,0
1068,288.980011,0
1069,290.570007,0
1070,291.589996,0
1071,292.350006,0
1072,292.519989,0
1073,294.869995,0
1074,296.390015,0
1075,295.309998,0
1076,296.23999,0
1077,295.290009,0
1078,297.160004,0
1079,297.109985,0
1080,298.48999,0
1081,298.98999,0
1082,296.399994,0
1083,301.359985,0
1084,301.720001,0
1085,306.019989,0
1086,307.149994,0
1087,306.190002,0
1088,309.609985,0
1089,308.690002,0
1090,306.75,0
1091,306.929993,0
1092,309.579987,0
1093,309.640015,0
1094,309.119995,0
1095,308.119995,0
1096,308.160004,0
1097,307.769989,0
1098,307.609985,0
1099,306,0
1100,305.190002,0
1101,305.799988,0
1102,306.950012,0
1103,313.839996,0
1104,316.160004,0
1105,315.279999,0
1106,317.480011,0
1107,317.970001,0
1108,321.23999,0
1109,321.980011,0
1110,318.320007,0
1111,319.140015,0
1112,319.170013,0
1113,321.589996,0
1114,319.049988,0
1115,320.519989,0
1116,321.970001,0
